product_name_fr;code;ingredients_text_fr;nutriscore_grade;stores;packaging;brands;labels;quantity;ecoscore_score;ecoscore_grade
Sushi box Akashi;4056489139829;sushi: 77,5% préparation à base de riz (riz cuit (eau, riz, huile de tournesol), sirop de fructose-glucose, vinaigre d'alcool, sel, vinaigre de riz, correcteur d'acidité : acétates de sodium) 8,7% saumon cru (poissons), 4,7% saumon cuit (poissons), 2,7% graines de sésame grillées, 2% fromage frais (lait, crème (lait), ferments lactiques, enzyme coagulante d'origine microbienne, sel), 1,5% concombre, 1,1% algue nori séchée, 0,6% préparation de tomate (tomates semi-déshydratées, huile de colza, sel, origan, ail), 0,5% sauce teriyaki (sucre, sauce soja (eau, sel, graines de soja, farine de blé), eau, vinaigre de ríz, purée de tomate, vin de riz (eau, riz, blé), amidon de maïs, gingembre, oignons, ail), 0,5% mayonnaise (huile de colza, jaune d'oeuf**, eau, vinaigre d'alcool, graines de moutarde, sucre, sel, épices), 0,2% ciboulette, 0,01% aneth, **issu de poules élevées en plein air, Sauce soja: eau, 19% fèves de soja, farine de blé, sel, Préparation au gingembre: 73% gingembre, sucre, sirop de glucose, fructose, eau, sel, acidifiants: acide citrique, acide acétique, *Wasabi : préparation au raifort: eau, 17% raifort en poudre, farine de moutarde, 0,5% wasabi en poudre, colorants: complexes cuivriques de chlorophylles et de chlorophyllines, curcumine, Traces éventuelles de crustacés, Non ouvert
Multicéréales goût chocolat;7622210449313;Céréales 53,1 % (farine de BLÉ 25,5 %, farine de BLÉ complète 21,3 %, farine d'ORGE 2,1 %, farine d'AVOINE 2,1 %, farine de SEIGLE 2,1 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4 %, sirop de glucose, amidon de BLÉ, poudres à lever (carbonates d'ammonium, carbonates de sodium), sel, émulsifiant (lécithines de SOJA), LAIT écrémé en poudre, perméat de lactosérum (de LAIT), arômes. PEUT CONTENIR OEUF.
Véritable Petit écolier Pocket Chocolat au Lait;7622210422026;"PETIT _BEURRE_ 52 % : Farine de _blé_ 68,1 %, sucre, _beurre_ 14,7 %, _lait_ écrémé en poudre, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), sel, correcteur d'acidité (acide citrique)
lipton;3228886048436;eau, sucre, fructose, acidifiants (acide citrique, acide malique), extrait de thé noir (1,2g/l), jus de pêche à base de concentré (0,1%), correcteur d'acidité (citrate trisodique), arômes, antioxydant (acide ascorbique). édulcorant (glycosides de stéviol).
Patate douce grillée;3270160861484;"Patate douce grillée* 22,8%, _boulghour_ cuit* (_gluten_) 21,6%, _lait_ entier*, _lait_ demi-écrémé*, épinard* 9,2%, échalote*, fromage de chèvre* 4,5% (contient : _lait_), _lait_ écrémé en poudre*, fève de _soja_* 3,6%, chou kale 3,6%. eau, basilic*, _amande_ effilée grillée* (_fruits à coque_) 1,1%, huile d'olive vierge extra*, amidon de mais*, fibre d'agave*, sel, ail*, coriandre*, poivre*.
Nutella biscuits;8000500310427;"Pâte à tartiner aux _NOISETTES_ et au cacao 40% (sucre, huile de palme, _NOISETTES_ 13%, _LAIT_ écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [_SOJA_] ; vanilline), farine de _FROMENT_ 32%, graisses végétales (palme, palmiste), sucre de canne 9%, _LACTOSE_, son de _BLE_, _LAIT_ en poudre, extrait en poudre de malt d'_ORGE_ et de maïs, miel, poudres à lever (disphosphate disodique, carbonate acide d'ammonium, carbonate acide de sodium), cacao maigre, sel, amidon de _FROMENT_, farine d'_ORGE_ malté, émulsifiants : lécithines [_SOJA_] ; vanilline."
Oreo Enrobed White;7622300489427;"white chocolate 43 % [sugar, cocoa butter, skimmed milk powder, lactose , pastry butter, lactose and milk proteins , emulsifier (soy lecithin ), flavour], sugar, vegetable fat and vegetable oil, lean cocoa powder 2,5 %, wheat starch , glucose-fructose syrup, baking powder (carbonate acid, potassium, carbonate acid, ammonium carbonate acid sodium), salt, emulsifiers (soy lecithin , sunflower lecithin), vanilla flavour,
Le bon Paris -25% de sel;7613036024419;"Jambon frais de porc, Bouillon (eau, gras et couennes de porc, os de porc, concentré d'oignons et de carottes, sel, persil, ail, clou de girofle, poivre, laurier), Sel, Dextrose de mais, Conservateur : nitrite de sodium; Chlorure de potassium, Antioxydant : isoascorbate de sodium."
Le Beurre Tendre, doux;3451790988677;_Crème_ (origine France), matière grasse _laitière_, ferments lactiques,
Green Tea with Honey;613008730734;Eau, sucre, miel (0,18%), extrait de thé vert (0,14%), arôme naturel, antioxydant: acide ascorbique, acidifiant: acide citrique, arôme ginseng.
Pain 100% mie nature PT;3228857000852;Farine de blé 63%, eau, sucre, huile de colza, sel, vinaigre, levure, farine de fèves, gluten de blé, arôme (contient alcool), extrait d'acérola. peut contenir des traces d'oeufs, soja, lait, fruits a coque, graines de sésame.
Multifruits;3254691586054;Jus de fruits à base de jus concentrés, de jus et de purées de fruits (pomme*, orange*, abricot* banane*, pamplemousse*, pêche*, ananas*, raisin*), eau, sucre*. *produits issus de l'agriculture biologique
Sushi Box Umeda;20852030;sushi : 78 % préparation à base de riz (riz cuit [eau, riz, huile de tournesol], sirop de fructose-glucose, vinaigre d'alcool, sel, vinaigre de riz, correcteur d'acidité : acétate de sodium), 13 % saumon cru (poissons), 2,9 % préparation à base de surimi saveur crabe (surimi [chair de poisson (poissons), sucre], eau, amidon de blé, poudre de blanc d'?uf réhydraté* , sucre, sel, arôme naturel (contient crustacés), colorant : extrait de paprika), algue Nori séchée, 1,1 % concombre, mayonnaise (huile de colza, jaune d'oeuf*, eau, vinaigre d'alcool, graines de moutarde, sucre, sel, épices), 0,8 % fromage frais (lait, crème (lait), ferments lactiques, enzyme coagulante d'origine microbienne, sel). Sauce soja : eau, 19 % graines de soja, grains de blé, sel. Préparation au gingembre : 63 % gingembre, fructose, sirop de glucose, sel, acidifiants : acide acétique, acide citrique. Préparation au raifort : eau, 17 % raifort en poudre, farine de moutarde, wasabi en poudre, colorants : complexe cuivriques de chlorophylles et chlorophyllines, curcumine. *issus de poules élevées en plein air. Traces éventuelles de mollusques, de céleri et Ge graines de sésame. Ne pas chauffer. Ne pas congeler. Prêt à la consommation. Laisser reposer les SUshis 20 minutes à température ambiante avant dégustation. Élaboré en France. Saumon (Salmo salar) élévé en aquaculture intensive en Norvege. Algue O www.lidl.fr/poissons élevée en aquaculture dans la Province de Jiansu, Chine. Non ouvert.Prince - Biscuits fourrés goût lait choco;7622210450029;Farine de blé 34%, sucre, huiles végétales (palme, colza), farine de blé complète 15%, sirop de glucose, cacao maigre en poudre 2%, dextrose, lactose et protéine de lait, lait entier en poudre 0,8%, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique, amidon de blé, émulsifiants (lécithine de soja, lécithine de tournesol), sel, lait écrémé en poudre, arômes,
Petit écolier;5410041010800;PETIT BEURRE 52 %: Farine de blé 68 %, sucre, beurre pâtissier 14 %, lait écrémé en poudre, poudre à lever (carbonate acide de sodium, diphosphate disodique, carbonate acide d'ammonium), sel, correcteur d'acidité (acide citrique). CHOCOLAT NOIR 48 % : Pâte et beurre de cacao, sucre, beurre pâtissie, lait écrémé en poudre, lactose (lait), émulsifiant (lécithine de soja), arôme vanille. Peut contenir fruits à coque.
Lait noisettes entières;7622210995063;Sucre, noisettes (24%), pâte de cacao, lait écrémé en poudre, beurre de cacao, lactosérum en poudre (de lait), beurre concentré, émulsifiant (lécithine de soja), arômes, cacao maigre en poudre. Cacao : 33% minimum dans le chocolat au lait extra-fin.
